feature_names,importance
wap_mean,1012.7752982735634
bid_spread_mean_300,1372.0684793889523
volume_imbalance_mean_300,1531.0168081879615
trade_size_sum_300,1676.426812595129
wap_mean_300,2024.736346065998
trade_order_count_mean_300,2359.944751393795
total_volume_mean_300,2698.8741168916226
trade_size_sum,3136.175177949667
bid_spread_mean,3674.025867074728
wap_balance_mean,4080.6728696942328
wap_balance_mean_300,5078.633259117603
ask_spread_mean_300,5898.505120265484
stock_id_target_enc,6163.351543134451
total_volume_mean,7600.025741070509
trade_seconds_in_bucket_count_unique,8371.76097112298
trade_order_count_mean,9528.246192348004
trade_seconds_in_bucket_count_unique_300,12068.063309210538
volume_imbalance_mean,13485.040646791458
price_spread_mean_300,14600.272830331325
price_spread_mean,16691.933089989423
ask_spread_mean,23244.33970575929
trade_log_return_realized_volatility_300,32108.818233674763
trade_log_return_realized_volatility,35393.197721707824
stock_id,85445.96309930683
log_return2_realized_volatility_300,115642.76974269748
log_return2_realized_volatility,301143.4548568666
log_return_realized_volatility_300,781767.900219369
log_return_realized_volatility,2918797.713270515
